# NUMBER ALPHA_J2000        DELTA_J2000        PHOTOZ
  843478 150.08760951278418 2.580009560548683  5.1128
  844047 150.08794376446727 2.5807804322240537 2.0979
  844082 150.08877465301703 2.579535172828299  0.5636
  844115 150.08974858939587 2.5795547856480745 1.237 
  844339 150.08889527073705 2.580910778771976  2.1862
  844392 150.08802497821335 2.581465674144336  0.652 
  844411 150.08554287427137 2.58128445357986   1.9833
  844432 150.09103293386025 2.5803365251786192 0.9834
  844466 150.0876554497569  2.5816127643700555 5.517 
  844730 150.08974599035722 2.5820291899829892 3.46  
  844949 150.08309643360224 2.5823701078453754 0.0   
  845231 150.09313268678193 2.5827437661413732 0.3075
  845588 150.08655537059724 2.5832910676300838 4.1033
  845592 150.09484316408688 2.583155928416584  1.6929
  845650 150.08213840429522 2.5822760511009997 1.4678
  845863 150.08527419921484 2.582079421726825  0.3384
  845937 150.08392837082937 2.5836138054594135 4.3052
  846017 150.08470945041356 2.5823554831321216 9.99  
  846057 150.09296865052312 2.5840420524209087 0.3506
  846154 150.0879677529965  2.5839564121176877 0.0872
  846329 150.0839069044503  2.584501784521904  1.2008
  846365 150.0882284886939  2.5827235546319    0.6596
  846369 150.08493891759653 2.5801447206591965 1.1966
  846383 150.0956634003515  2.584586006380323  3.2705
  846432 150.0929028843729  2.5845991317015202 4.0189
  846564 150.09558709926927 2.5839327210257657 1.3866
  846639 150.09097624981538 2.5849113810224034 0.8889
  846694 150.09175777171086 2.581870413201253  -99.9 
  846846 150.08640200934    2.585089283465306  1.7283
  846861 150.08261931912054 2.58507825228682   0.9455
  846996 150.0915922646018  2.5855201865759954 0.4811
  847148 150.09069773370902 2.5857509112790886 0.3219
  847164 150.09437933694784 2.5849078731465025 0.2638
  847358 150.08938434852    2.585517448652571  0.809 
  847483 150.09457244578462 2.5856068904291125 1.4458
  847486 150.0935741633988  2.5862472662593916 2.0846
  847534 150.09496938823915 2.5863787429118523 1.3186
  847837 150.0863780735612  2.5868310184058285 0.779 
  848005 150.08934354105025 2.586944080450425  0.3406
  848082 150.0893723049004  2.587276819082749  0.6641
  848119 150.0960520121513  2.5871801597257007 2.0731
  848134 150.08993873687422 2.5868932027695024 0.4233
  848185 150.08961599756316 2.5864108915424042 0.0   
  848275 150.0959480895754  2.587548827812707  1.5826
  848339 150.09148771098228 2.587725215081449  0.6829
  848366 150.0943184196068  2.587396395273732  0.8375
  848426 150.09344020498386 2.5877625559325694 3.1246
  848441 150.0910151707836  2.5875553101074784 0.2959
  848482 150.08945646172117 2.5879244864126947 2.3859
  848590 150.09296074242246 2.5880327281734785 0.5872
  848690 150.0813785159846  2.586616852506672  0.651 
  848724 150.08617070123455 2.5882769093210145 5.1175
  848751 150.0850741193483  2.5883155845750196 2.2276
  848842 150.08248367783762 2.5872656821139035 3.1133
  848972 150.0885670953412  2.5881157782208533 1.6804
  849054 150.08086205737476 2.588717757305334  5.2348
  849174 150.08032706307034 2.5889314311917695 2.6416
  849352 150.09496928680028 2.5889859636242765 0.2743
  849388 150.08319870548024 2.588964424914567  2.3155
  849584 150.0837432697644  2.588791908679485  1.2784
  849732 150.08656768594608 2.589325181231186  5.3759
  849887 150.08576928836678 2.5892245903287323 0.0   
  850175 150.08787617832022 2.5880840523371296 1.608 
  850245 150.08080324135832 2.589967805533871  1.6445
  850274 150.0886926830362  2.58748734557488   1.5147
  850368 150.09178913456523 2.5893100868932506 1.27  
  850438 150.08245230053873 2.5866108457544232 1.4693
  850535 150.0862075174894  2.5889237398593474 1.0436
  850717 150.0827729471381  2.588266565348187  1.0575
  850786 150.08660051914183 2.5913813406524007 2.5918
  850792 150.09158830116513 2.5912578482543225 2.8542
  850862 150.0908108376531  2.5914485123877418 3.1274
  851007 150.08983787969075 2.5911820144875994 0.0   
  851075 150.09132993055994 2.5909435794681497 2.3643
  851090 150.0908913211413  2.5917695652813695 2.6265
  851296 150.08182426663933 2.590593953063563  1.5489
  851341 150.08431812076535 2.5905804578353964 0.5136
  851425 150.0836539755388  2.5907918111440926 1.1889
  851449 150.09017976499203 2.5894919071847173 0.6608
  851464 150.09072027523732 2.5923639427879004 1.7104
  851620 150.0841237097318  2.592578151707875  2.3284
  851641 150.09133126924405 2.592631086058151  2.6931
  851780 150.08983234410627 2.5925256232623655 1.048 
  851783 150.08483637673234 2.5910550147939477 1.4426
  852397 150.0882202784104  2.589596233321783  -99.9 
  852474 150.0876046673798  2.5938635442364406 5.3573
  852490 150.0933225867089  2.5912246123425215 -99.9 
  852897 150.08940779528496 2.594557166968053  0.0   
  853586 150.0881819481043  2.5948615266487915 0.6711
  853618 150.0863233816648  2.594236111389619  0.457 
  854279 150.0912045323225  2.594593042802749  0.693 
